7263, 200
j : 8386
j : 5241
j : 9080
j : 6593
j : 4074
j : 5877
j : 9920
j : 4336
j : 5777
j : 2918
j : 7016
j : 4249
j : 2270
j : 8223
j : 303
j : 4195
j : 4526
j : 7963
j : 4419
j : 4920
j : 4890
j : 4910
j : 6228
j : 142
j : 575
j : 8837
j : 4696
j : 2647
j : 5251
j : 1754
j : 5018
j : 5968
j : 6310
j : 1133
j : 5755
j : 6170
j : 7457
j : 4703
j : 7019
j : 7472
j : 3231
j : 1624
j : 8460
j : 7212
j : 6614
j : 2064
j : 3242
j : 7483
j : 2989
j : 8783
j : 1725
j : 4324
j : 9057
j : 5503
j : 1715
j : 7793
j : 4300
j : 8347
j : 4270
j : 1439
j : 4768
j : 3697
j : 9245
j : 298
j : 6280
j : 581
j : 6508
j : 12
j : 1187
j : 2009
j : 2982
j : 5753
j : 7299
j : 4173
j : 6316
j : 7285
j : 5085
j : 9187
j : 991
j : 4734
j : 2714
j : 9536
j : 2563
j : 3600
j : 173
j : 8054
j : 9174
j : 9967
j : 8003
j : 1113
j : 193
j : 424
j : 5362
j : 826
j : 6524
j : 5101
j : 4611
j : 1032
j : 9889
j : 7009
j : 7044
j : 3563
j : 4282
j : 6655
j : 9762
j : 9793
j : 4247
j : 5161
j : 6411
j : 1623
j : 5387
j : 8622
j : 4574
j : 132
j : 9072
j : 1123
j : 3486
j : 9907
j : 5200
j : 9164
j : 1912
j : 7729
j : 2056
j : 1816
j : 9603
j : 7987
j : 6407
j : 7822
j : 830
j : 1391
j : 2619
j : 6655
j : 4282
j : 3563
j : 9586
j : 7801
j : 7848
j : 4106
j : 9336
j : 6920
j : 2550
j : 875
j : 474
j : 2007
j : 3108
j : 5590
j : 999
j : 5671
j : 8442
j : 2908
j : 461
j : 4150
j : 654
j : 1950
j : 3984
j : 177
j : 8570
j : 6649
j : 4277
j : 9201
j : 7885
j : 817
j : 643
j : 2182
j : 9425
j : 6663
j : 6571
j : 2335
j : 9865
j : 269
j : 9865
j : 3321
j : 1241
j : 35
j : 949
j : 2964
j : 9282
j : 2618
j : 2121
j : 9111
j : 4085
j : 9930
j : 9232
j : 6864
j : 8457
j : 9081
j : 2212
j : 5315
j : 7100
j : 627
j : 7437
j : 7406
j : 7765
j : 8601
j : 5682
j : 2144
j : 6178
j : 6784
j : 2460
j : 8256
j : 1813
j : 5985
j : 3832
j : 28
j : 9060
j : 7208
j : 3433
j : 8734
j : 5188
j : 2806
j : 5848
j : 845
j : 4148
j : 3168
j : 84
j : 3876
j : 1089
j : 447
j : 1351
j : 4159
j : 5505
j : 7380
j : 6071
j : 124
j : 3415
j : 414
j : 5873
j : 3505
j : 9400
j : 2225
j : 1216
j : 2893
j : 5484
j : 8262
j : 9715
j : 595
j : 6851
j : 5133
j : 336
j : 5213
j : 6507
j : 6408
j : 2929
j : 6357
j : 6317
j : 5511
j : 8606
j : 1228
j : 2207
j : 135
j : 2415
j : 7680
j : 3694
j : 7202
j : 4407
j : 427
j : 9728
j : 5473
j : 3740
j : 7533
j : 1338
j : 606
j : 9637
j : 5274
j : 6470
j : 786
j : 4394
j : 6145
j : 93
j : 2836
j : 2971
j : 851
j : 2255
j : 927
j : 8662
j : 7861
j : 6651
j : 4863
j : 2084
j : 897
j : 5710
j : 8481
j : 913
j : 1
j : 4661
j : 8021
j : 4061
j : 5253
j : 2768
j : 4651
j : 4109
j : 2738
j : 8287
j : 3000
j : 1773
j : 9522
j : 1139
j : 3490
j : 7684
j : 3358
j : 8178
j : 9349
j : 8153
j : 6683
j : 3018
j : 2934
j : 3675
j : 6021
j : 8431
j : 2727
j : 7606
j : 8408
j : 9017
j : 4487
j : 6279
j : 9489
j : 6253
j : 8386
j : 5241
j : 9080
j : 6593
j : 4074
j : 5877
j : 9920
j : 4336
j : 5777
j : 2918
j : 7016
j : 4249
j : 2270
j : 8223
j : 303
j : 4195
j : 4526
j : 7963
j : 4419
j : 4920
j : 4890
j : 4910
j : 6228
j : 142
j : 575
j : 8837
j : 4696
j : 2647
j : 5251
j : 1754
j : 5018
j : 5968
j : 6310
j : 1133
j : 5755
j : 6170
j : 7457
j : 4703
j : 7019
j : 7472
j : 3231
j : 1624
j : 8460
j : 7212
j : 6614
j : 2064
j : 3242
j : 7483
j : 2989
j : 8783
j : 1725
j : 4324
j : 9057
j : 5503
j : 1715
j : 7793
j : 4300
j : 8347
j : 4270
j : 1439
j : 4768
j : 3697
j : 9245
j : 298
j : 6280
j : 581
j : 6508
j : 12
j : 1187
j : 2009
j : 2982
j : 5753
j : 7299
j : 4173
j : 6328
j : 2942
j : 7588
j : 1582
j : 9002
j : 7586
j : 2363
j : 4223
j : 8740
j : 5656
j : 1688
j : 2145
j : 3321
j : 9865
j : 2335
j : 7853
j : 6571
j : 6663
j : 9425
j : 2182
j : 8124
j : 6767
j : 6281
j : 5095
j : 1935
j : 8400
j : 3392
j : 1048
j : 9027
j : 6445
j : 6897
j : 3389
j : 6735
j : 8061
j : 7950
j : 1651
j : 5561
j : 844
j : 9939
j : 8298
j : 94
j : 9716
j : 8005
j : 5267
j : 233
j : 603
j : 1748
j : 3814
j : 8958
j : 3592
j : 9178
j : 8430
j : 5520
j : 3733
j : 9460
j : 7612
j : 7683
j : 7879
j : 4231
j : 6329
j : 924
j : 1794
j : 1753
j : 8668
j : 4628
j : 1699
j : 4346
j : 6091
j : 4134
j : 5808
j : 6583
j : 8216
j : 4869
j : 639
j : 5685
j : 5169
j : 4082
j : 6
j : 3384
j : 6362
j : 7226
j : 7083
j : 7812
j : 1854
j : 8012
j : 8439
j : 3218
j : 3588
j : 718
j : 7601
j : 684
j : 9671
j : 2173
j : 2537
j : 4204
j : 4137
j : 9742
j : 257
j : 805
j : 5102
j : 4651
j : 2768
j : 5253
j : 7159
j : 4661
j : 8021
j : 6298
j : 6089
j : 913
j : 1
j : 8481
j : 4744
j : 5710
j : 7938
j : 897
j : 2084
j : 3594
j : 6651
j : 4798
j : 8662
j : 927
j : 2255
j : 2971
j : 851
j : 7614
j : 6795
j : 8326
j : 8766
j : 8919
j : 4646
j : 3959
j : 822
j : 4810
j : 7849
j : 4810
j : 7206
j : 5380
j : 7364
j : 8766
j : 8326
j : 6795
j : 7614
j : 851
j : 2255
j : 927
j : 8662
j : 7861
j : 6651
j : 4863
j : 2084
j : 897
j : 5710
j : 8481
j : 913
j : 1
j : 4661
j : 8021
j : 4061
j : 5253
j : 2768
j : 4651
j : 4109
j : 2738
j : 8287
j : 3000
j : 1773
j : 9522
j : 1139
j : 3490
j : 7684
j : 3358
j : 8178
j : 3341
j : 7875
j : 1240
j : 4301
j : 7665
j : 7101
j : 2919
j : 4705
j : 2972
j : 1412
j : 4892
j : 9308
j : 2345
j : 5917
j : 3204
j : 9854
j : 5453
j : 1669
j : 5254
j : 2453
j : 9295
j : 484
j : 9356
j : 5491
j : 8719
j : 4005
j : 5660
j : 1320
j : 8222
j : 6040
j : 2929
j : 6357
j : 42
j : 5455
j : 8963
j : 7753
j : 693
j : 1590
j : 5211
j : 5783
j : 8492
j : 4154
j : 7594
j : 7098
j : 9970
j : 696
j : 171
j : 7251
j : 1003
j : 774
j : 4800
j : 6118
j : 9809
j : 2946
j : 9661
j : 1549
j : 5042
j : 9612
j : 980
j : 213
j : 112
j : 4884
j : 1619
j : 646
j : 5478
j : 6225
j : 1041
j : 242
j : 647
j : 5488
j : 9325
j : 5687
j : 6341
j : 6453
j : 1268
j : 4579
j : 9437
j : 5924
j : 4122
j : 6489
j : 2219
j : 1233
j : 9312
j : 6062
j : 4977
j : 6866
j : 6543
j : 4537
j : 2569
j : 6421
j : 841
j : 2315
j : 576
j : 8771
j : 4365
j : 7254
j : 8635
j : 4314
j : 481
j : 4640
j : 2740
j : 4907
j : 3830
j : 3782
j : 8183
j : 112
j : 9313
j : 2183
j : 5533
j : 3823
j : 9661
j : 159
j : 9809
j : 6743
j : 3339
j : 9204
j : 6758
j : 3760
j : 7998
j : 123
j : 5463
j : 7691
j : 1628
j : 7650
j : 3214
j : 8337
j : 3481
j : 7133
j : 3454
j : 1009
j : 3632
j : 3038
j : 9905
j : 4859
j : 5857
j : 6376
j : 9105
j : 5319
j : 18
j : 7381
j : 3316
j : 135
j : 2415
j : 7680
j : 3694
j : 7202
j : 4407
j : 427
j : 9728
j : 5473
j : 3740
j : 7533
j : 1338
j : 606
j : 9637
j : 5274
j : 6470
j : 786
j : 4394
j : 6145
j : 93
j : 2836
j : 2971
j : 851
j : 2255
j : 927
j : 8662
j : 7861
j : 6651
j : 4863
j : 2084
j : 897
j : 5710
j : 8481
j : 913
j : 1
j : 4661
j : 8407
j : 197
j : 3585
j : 62
j : 1518
j : 2885
j : 4932
j : 3700
j : 8361
j : 1557
j : 7601
j : 718
j : 8991
j : 785
j : 3574
j : 5034
j : 5963
j : 9143
j : 2059
j : 945
j : 5929
j : 1363
j : 945
j : 5929
j : 1188
j : 3676
j : 3514
j : 4211
j : 2395
j : 524
j : 1114
j : 8991
j : 718
j : 7601
j : 684
j : 9671
j : 2173
j : 2537
j : 4204
j : 4137
j : 9742
j : 257
j : 805
j : 5102
j : 4651
j : 2768
j : 5253
j : 7159
j : 4661
j : 8021
j : 6298
j : 6089
j : 913
j : 1
j : 4661
j : 8021
j : 4061
j : 5253
j : 2768
j : 4651
j : 4109
j : 2738
j : 8287
j : 3000
j : 1773
j : 9522
j : 1139
j : 3490
j : 7684
j : 3358
j : 8178
j : 9349
j : 8153
j : 6683
j : 3018
j : 2934
j : 3675
j : 6021
j : 8431
j : 2727
j : 7606
j : 8408
j : 9017
j : 4487
j : 6279
j : 9489
j : 6253
j : 8386
j : 5241
j : 9080
j : 6593
j : 4074
j : 5877
j : 9920
j : 4336
j : 5777
j : 2918
j : 7016
j : 4249
j : 2270
j : 8223
j : 303
j : 4195
j : 4526
j : 7963
j : 4419
j : 4920
j : 4890
j : 8796
j : 8036
j : 4287
j : 6116
j : 5565
j : 7565
j : 8130
j : 6611
j : 5057
j : 3457
j : 9372
j : 6618
j : 3976
j : 8057
j : 541
j : 7826
j : 1213
j : 4918
j : 114
j : 5804
j : 6348
j : 2694
j : 5308
j : 7288
j : 5624
j : 9086
j : 8773
j : 7256
j : 1466
j : 8228
j : 4828
j : 8367
j : 6968
j : 6468
j : 2325
j : 2983
j : 9486
j : 471
j : 2655
j : 6117
j : 4566
j : 6210
j : 8403
j : 801
j : 1197
j : 9168
j : 4559
j : 5904
j : 8317
j : 3106
j : 9759
j : 8129
j : 6779
j : 7516
j : 7375
j : 2324
j : 3636
j : 885
j : 4787
j : 1236
j : 4034
j : 8443
j : 7185
j : 8612
j : 4388
j : 4712
j : 91
j : 4311
j : 1758
j : 5865
j : 3086
j : 9593
j : 8961
j : 3762
j : 2310
j : 3416
j : 6985
j : 443
j : 4902
j : 4218
j : 450
j : 5931
j : 509
j : 1176
j : 2410
j : 5986
j : 1516
j : 5153
j : 7444
j : 9210
j : 4221
j : 2296
j : 7987
j : 9603
j : 1816
j : 2056
j : 1816
j : 9603
j : 7987
j : 6407
j : 7822
j : 830
j : 1391
j : 2619
j : 6655
j : 4282
j : 3563
j : 9586
j : 7801
j : 7848
j : 4106
j : 9336
j : 6920
j : 2550
j : 875
j : 474
j : 2007
j : 3108
j : 5590
j : 999
j : 5671
j : 8442
j : 2908
j : 461
j : 4150
j : 654
j : 1950
j : 3984
j : 177
j : 8570
j : 6649
j : 4277
j : 9201
j : 7885
j : 817
j : 643
j : 2182
j : 9425
j : 6663
j : 6571
j : 2335
j : 269
j : 9865
j : 3321
j : 1241
j : 35
j : 949
j : 2964
j : 9282
j : 2618
j : 2121
j : 9111
j : 4085
j : 9930
j : 9232
j : 6864
j : 8457
j : 9081
j : 2212
j : 5315
j : 7100
j : 627
j : 7437
j : 7406
j : 7765
j : 8601
j : 5682
j : 2144
j : 6178
j : 6784
j : 2460
j : 8256
j : 1813
j : 5985
j : 3832
j : 28
j : 9060
j : 7208
j : 3433
j : 8734
j : 5188
j : 2806
j : 5848
j : 845
j : 4148
j : 3168
j : 84
j : 3876
j : 1089
j : 447
j : 1351
j : 4159
j : 5505
j : 7380
j : 6071
j : 124
j : 3415
j : 414
j : 5873
j : 3505
j : 9400
j : 2225
j : 1216
j : 2893
j : 5484
j : 8262
j : 9715
j : 595
j : 6851
j : 5133
j : 336
j : 5213
j : 6507
j : 6408
j : 2929
j : 6357
j : 6317
j : 5511
j : 8606
j : 1228
j : 2207
j : 135
j : 2415
j : 7680
j : 3694
j : 7202
j : 4407
j : 427
j : 9728
j : 5473
j : 3740
j : 7533
j : 1338
j : 606
j : 9637
j : 5274
j : 6470
j : 786
j : 4394
j : 6145
j : 93
j : 2836
j : 2971
j : 851
j : 2255
j : 927
j : 8662
j : 7861
j : 6651
j : 4863
j : 2084
j : 897
j : 5710
j : 8481
j : 913
j : 1
j : 4661
j : 8021
j : 4061
j : 5253
j : 2768
j : 4651
j : 4109
j : 2738
j : 8287
j : 3000
j : 1773
j : 9522
j : 1139
j : 3358
j : 8178
j : 9349
j : 8153
j : 6683
j : 3018
j : 2934
j : 3675
j : 6021
j : 8431
j : 2727
j : 7606
j : 8408
j : 9017
j : 4487
j : 6279
j : 9489
j : 6253
j : 8386
j : 5241
j : 9080
j : 140
j : 6593
j : 4074
j : 5877
j : 9920
j : 4336
j : 5777
j : 2918
j : 7016
j : 4249
j : 2270
j : 8223
j : 303
j : 4195
j : 4526
j : 7963
j : 4419
j : 4920
j : 4890
j : 8796
j : 8036
j : 4287
j : 6116
j : 5565
j : 7565
j : 8130
j : 6611
j : 5057
j : 3457
j : 9372
j : 6618
j : 3976
j : 8057
j : 541
j : 7826
j : 1213
j : 4918
j : 114
j : 5804
j : 6348
j : 2694
j : 5308
j : 7288
j : 5624
j : 9086
j : 8773
j : 7256
j : 1466
j : 8228
j : 4828
j : 8367
j : 8814
j : 1963
j : 9046
j : 1963
j : 3136
j : 1637
j : 3411
j : 588
j : 8768
j : 2069
j : 6305
j : 6509
j : 6817
j : 8720
j : 6969
j : 6785
j : 3599
j : 2526
j : 1079
j : 3976
j : 7694
j : 4160
j : 172
j : 7724
j : 1356
j : 558
j : 5258
j : 7002
j : 9902
j : 7823
j : 575
j : 142
j : 4250
j : 6756
j : 3366
j : 6919
j : 2045
j : 1269
j : 543
j : 2722
j : 4132
j : 2638
j : 7568
j : 3772
j : 616
j : 754
j : 1792
j : 3491
j : 7469
j : 6478
j : 2289
j : 4487
j : 6279
j : 9017
j : 5872
j : 7606
j : 2727
j : 8431
j : 6021
j : 2934
j : 3018
j : 6916
j : 5903
j : 1240
j : 7875
j : 8178
j : 3358
j : 1139
j : 1773
j : 3000
j : 8287
j : 5126
j : 4109
j : 4651
j : 2768
j : 5253
j : 7159
j : 4661
j : 8021
j : 6298
j : 6089
j : 913
j : 1
j : 4661
j : 8021
j : 4061
j : 5253
j : 2768
j : 4651
j : 4109
j : 2738
j : 8287
j : 3000
j : 1773
j : 9522
j : 1139
j : 3490
j : 7684
j : 3358
j : 8178
j : 9349
j : 8153
j : 6683
j : 3018
j : 2934
j : 3675
j : 6021
j : 8431
j : 2727
j : 7606
j : 8408
j : 9017
j : 4487
j : 6279
j : 9489
j : 6253
j : 8386
j : 5241
j : 9080
j : 140
j : 6593
j : 4074
j : 5877
j : 9920
j : 4336
j : 5777
j : 2918
j : 7016
j : 4249
j : 2270
j : 3535
j : 7152
j : 1862
j : 1244
j : 6871
j : 2957
j : 9492
j : 8274
j : 765
j : 2708
j : 1206
j : 8342
j : 8927
j : 7042
j : 3361
j : 5433
j : 2590
j : 8196
j : 5447
j : 9624
j : 6337
j : 965
j : 1327
j : 1649
j : 9839
j : 4867
j : 8671
j : 7404
j : 1092
j : 3150
j : 609
j : 3768
j : 2696
j : 1194
j : 6724
j : 7237
j : 5681
j : 3603
j : 2688
j : 863
j : 9065
j : 5289
j : 5862
j : 6218
j : 5862
j : 1756
j : 863
j : 2688
j : 3603
j : 5681
j : 7237
j : 6821
j : 1194
j : 6724
j : 4584
j : 3768
j : 4473
j : 6046
j : 3182
j : 8728
j : 8854
j : 9067
j : 798
j : 2406
j : 7511
j : 6337
j : 8196
j : 1683
j : 3361
j : 2433
j : 1206
j : 2708
j : 765
j : 9492
j : 2957
j : 6871
j : 1244
j : 7152
j : 3535
j : 8223
j : 303
j : 4195
j : 7695
j : 1585
j : 3772
j : 616
j : 754
j : 1792
j : 3491
j : 7469
j : 6478
j : 2289
j : 4487
j : 6279
j : 9017
j : 5872
j : 7606
j : 2727
j : 8431
j : 6021
j : 2934
j : 3018
j : 6916
j : 5903
j : 1240
j : 7875
j : 8178
j : 3358
j : 1139
j : 1773
j : 3000
j : 8287
j : 5126
j : 4109
j : 4651
j : 2768
j : 5253
j : 7159
j : 4661
j : 8021
j : 6298
j : 6089
j : 913
j : 1
j : 4661
j : 8021
j : 4061
j : 5253
j : 2768
j : 4651
j : 4109
j : 2738
j : 8287
j : 3000
j : 1773
j : 9522
j : 1139
j : 3490
j : 7684
j : 3358
j : 8178
j : 7875
j : 1240
j : 4301
j : 7665
j : 7101
j : 2919
j : 4705
j : 2972
j : 1412
j : 4892
j : 9308
j : 2345
j : 5917
j : 3204
j : 9854
j : 5453
j : 1669
j : 5254
j : 2453
j : 9295
j : 484
j : 7352
j : 6630
j : 30
j : 9663
j : 5891
j : 9663
j : 30
j : 6630
j : 6961
j : 7352
j : 9295
j : 2453
j : 5254
j : 4202
j : 5453
j : 9854
j : 3204
j : 5941
j : 5917
j : 2345
j : 9308
j : 5658
j : 21
j : 2919
j : 8648
j : 9932
j : 4301
j : 1240
j : 7875
j : 8178
j : 3358
j : 1139
j : 1773
j : 3000
j : 8287
j : 5126
j : 4109
j : 4651
j : 2768
j : 5253
j : 7159
j : 4661
j : 8021
j : 6298
j : 6089
j : 913
j : 1
j : 4661
j : 8021
j : 4061
j : 5253
j : 2768
j : 4651
j : 4109
j : 2738
j : 8287
j : 3000
j : 1773
j : 9522
j : 1139
j : 3490
j : 7684
j : 3358
j : 8178
j : 9349
j : 8153
j : 6683
j : 3018
j : 2934
j : 3675
j : 6021
j : 8431
j : 2727
j : 7606
j : 8408
j : 9017
j : 4487
j : 6279
j : 9489
j : 6253
j : 8386
j : 5241
j : 9080
j : 6593
j : 4074
j : 5877
j : 9920
j : 4336
j : 5777
j : 2918
j : 7016
j : 4249
j : 2270
j : 8223
j : 303
j : 4195
j : 4526
j : 7963
j : 4419
j : 4920
j : 4890
j : 4910
j : 6228
j : 142
j : 575
j : 8837
j : 4696
j : 2647
j : 5251
j : 1754
j : 5018
j : 5968
j : 7296
j : 7307
j : 9087
j : 2809
j : 7806
j : 7216
j : 6481
j : 5793
j : 8284
j : 972
j : 8392
j : 4617
j : 9881
j : 1605
j : 7881
j : 1487
j : 4063
j : 6022
j : 8691
j : 3270
j : 9944
j : 2014
j : 5810
j : 3992
j : 7060
j : 1212
j : 487
j : 4718
j : 5263
j : 2144
j : 5682
j : 8601
j : 7765
j : 7437
j : 627
j : 1373
j : 1809
j : 7326
j : 2594
j : 6613
j : 6192
j : 8981
j : 7566
j : 3916
j : 8088
j : 5549
j : 6308
j : 3795
j : 7919
j : 3223
j : 7945
j : 2328
j : 6709
j : 9373
j : 3797
j : 5293
j : 3438
j : 5485
j : 1546
j : 6728
j : 3937
j : 2711
j : 2998
j : 7744
j : 4162
j : 8794
j : 8218
j : 8506
j : 8764
j : 1124
j : 347
j : 4966
j : 2581
j : 8255
j : 2377
j : 9439
j : 8379
j : 7926
j : 3498
j : 5219
j : 1145
j : 6973
j : 9430
j : 9998
j : 7943
j : 2365
j : 6269
j : 8272
j : 3657
j : 7323
j : 1472
j : 1202
j : 3419
j : 8012
j : 8439
j : 3218
j : 3588
j : 718
j : 7601
j : 684
j : 7601
j : 718
j : 8991
j : 785
j : 3574
j : 5034
j : 5963
j : 9143
j : 2059
j : 5300
j : 791
j : 846
j : 6586
j : 2548
j : 8344
j : 5693
j : 9508
j : 562
j : 1729
j : 940
j : 6302
j : 7341
j : 3130
j : 3360
j : 7366
j : 9763
j : 9441
j : 36
j : 8011
j : 7350
j : 5182
j : 1932
j : 3711
j : 6719
j : 4474
j : 8480
j : 2483
j : 2370
j : 5528
j : 2672
j : 8950
j : 9892
j : 1442
j : 2354
j : 1579
j : 1303
j : 2360
j : 7692
j : 6099
j : 4213
j : 4565
j : 4213
j : 7692
j : 3919
j : 5576
j : 3078
j : 2746
j : 5856
j : 5967
j : 770
j : 5572
j : 2102
j : 182
j : 2766
j : 8610
j : 1431
j : 567
j : 3738
j : 8167
j : 5341
j : 5726
j : 807
j : 5672
j : 9621
j : 470
j : 6667
j : 3477
j : 7459
j : 7532
j : 2564
j : 2491
j : 4936
j : 1070
j : 9922
j : 9515
j : 2401
j : 7979
j : 8911
j : 2472
j : 3641
j : 9719
j : 759
j : 5348
j : 1729
j : 562
j : 9508
j : 5693
j : 8585
j : 9083
j : 1895
j : 3099
j : 6648
j : 9640
j : 2141
j : 7047
j : 1931
j : 4364
j : 857
j : 326
j : 6018
j : 7007
j : 483
j : 3359
j : 1773
j : 3000
j : 8287
j : 5126
j : 4109
j : 4651
j : 2768
j : 5253
j : 7159
j : 4661
j : 8021
j : 6298
j : 6089
j : 913
j : 1
j : 4661
j : 8021
j : 4061
j : 5253
j : 2768
j : 4651
j : 4109
j : 2738
j : 8287
j : 3000
j : 1773
j : 9522
j : 1139
j : 3490
j : 7684
j : 3358
j : 8178
j : 9349
j : 8153
j : 6683
j : 3018
j : 2934
j : 3675
j : 6021
j : 8431
j : 2727
j : 7606
j : 8408
j : 9017
j : 4487
j : 6279
j : 9489
j : 6253
j : 8386
j : 9080
j : 5241
j : 9080
j : 6593
j : 4074
j : 5877
j : 9920
j : 4336
j : 5777
j : 2918
j : 7016
j : 4249
j : 2270
j : 8223
j : 303
j : 4195
j : 4526
j : 7963
j : 4419
j : 4920
j : 4890
j : 4910
j : 6228
j : 142
j : 575
j : 8837
j : 4696
j : 2647
j : 5251
j : 1754
j : 5018
j : 5968
j : 7296
j : 7307
j : 9087
j : 2809
j : 7806
j : 7216
j : 6481
j : 5793
j : 8284
j : 972
j : 8392
j : 4617
j : 9881
j : 1605
j : 7881
j : 1487
j : 4063
j : 6022
j : 8691
j : 3270
j : 9944
j : 2014
j : 5810
j : 3992
j : 7060
j : 1212
j : 487
j : 4718
j : 5263
j : 2144
j : 5682
j : 8601
j : 7765
j : 7437
j : 627
j : 1373
j : 1809
j : 7326
j : 2594
j : 6613
j : 6192
j : 8981
j : 1551
j : 7566
j : 3916
j : 8088
j : 5549
j : 6308
j : 3795
j : 7919
j : 3223
j : 7945
j : 2328
j : 6709
j : 9373
j : 3797
j : 5293
j : 3438
j : 5485
j : 1546
j : 6728
j : 3937
j : 2711
j : 2998
j : 7744
j : 4162
j : 8794
j : 8218
j : 278
j : 6318
j : 9256
j : 285
j : 4679
j : 2344
j : 4189
j : 2344
j : 270
j : 4679
j : 3973
j : 6410
j : 4996
j : 103
j : 704
j : 9367
j : 1021
j : 2998
j : 2711
j : 4550
j : 8172
j : 6517
j : 7506
j : 2384
j : 8508
j : 8782
j : 4445
j : 9120
j : 6746
j : 7989
j : 4799
j : 9883
j : 676
j : 3947
j : 4969
j : 2804
j : 4238
j : 7495
j : 7397
j : 3205
j : 4883
j : 4205
j : 1362
j : 8209
j : 9868
j : 6323
j : 3856
j : 4118
j : 4135
j : 8114
j : 4641
j : 7348
j : 6397
j : 6672
j : 3287
j : 4953
j : 6092
j : 5440
j : 585
j : 9077
j : 8109
j : 3415
j : 414
j : 5873
j : 3505
j : 9400
j : 2225
j : 1216
j : 2893
j : 5484
j : 8262
j : 9715
j : 595
j : 6851
j : 5133
j : 336
j : 5213
j : 6507
j : 6408
j : 2929
j : 6357
j : 6317
j : 5511
j : 8606
j : 1228
j : 2207
j : 135
j : 2415
j : 7680
j : 3694
j : 7202
j : 4407
j : 427
j : 9728
j : 5473
j : 3740
j : 7533
j : 1338
j : 606
j : 9637
j : 5274
j : 6470
j : 786
j : 4394
j : 6145
j : 93
j : 2836
j : 2971
j : 851
j : 2255
j : 927
j : 8662
j : 7861
j : 6651
j : 4863
j : 2084
j : 897
j : 5710
j : 8481
j : 913
j : 1
j : 4661
j : 8021
j : 4061
j : 5253
j : 2768
j : 4651
j : 4109
j : 2738
j : 8287
j : 3000
j : 1773
j : 9522
j : 1139
j : 3358
j : 8178
j : 9349
j : 8153
j : 6683
j : 3018
j : 6916
j : 5903
j : 1240
j : 7875
j : 8178
j : 3358
j : 1139
j : 1773
j : 3000
j : 8287
j : 5126
j : 4109
j : 4651
j : 2768
j : 5253
j : 7159
j : 4661
j : 8021
j : 6298
j : 6089
j : 913
j : 1
j : 4661
j : 8407
j : 197
j : 3585
j : 62
j : 1518
j : 2885
j : 4932
j : 3700
j : 8361
j : 1557
j : 7601
j : 718
j : 8991
j : 785
j : 3574
j : 5034
j : 5963
j : 9143
j : 2059
j : 5300
j : 791
j : 846
j : 6586
j : 2548
j : 8344
j : 5693
j : 9508
j : 562
j : 1729
j : 940
j : 6302
j : 7341
j : 3130
j : 3360
j : 7366
j : 9763
j : 9441
j : 36
j : 8011
j : 7350
j : 5182
j : 1932
j : 3711
j : 6719
j : 4474
j : 8480
j : 3642
j : 6465
j : 2041
j : 9015
j : 8227
j : 9432
j : 8227
j : 9015
j : 2041
j : 6465
j : 3642
j : 8480
j : 7964
j : 4474
j : 1539
j : 6719
j : 3711
j : 5182
j : 8011
j : 36
j : 7720
j : 1810
j : 5555
j : 7341
j : 6302
j : 940
j : 1729
j : 562
j : 9508
j : 5693
j : 8585
j : 9083
j : 1895
j : 3099
j : 6648
j : 9640
j : 2141
j : 7047
j : 1931
j : 4364
j : 857
j : 326
j : 6018
j : 7007
j : 483
j : 3359
j : 1773
j : 3000
j : 8287
j : 5126
j : 4109
j : 4651
j : 2768
j : 5253
j : 7159
j : 4661
j : 8021
j : 6298
j : 6089
j : 913
j : 1
j : 8481
j : 4744
j : 5710
j : 7938
j : 897
j : 2084
j : 3594
j : 6651
j : 4798
j : 8662
j : 927
j : 2255
j : 2971
j : 851
j : 7614
j : 6795
j : 8326
j : 8766
j : 8919
j : 6695
j : 677
j : 7028
j : 9348
j : 4140
j : 6238
j : 1411
j : 6462
j : 4105
j : 1679
j : 183
j : 8068
j : 7455
j : 6285
j : 4308
j : 3717
j : 7455
j : 8068
j : 183
j : 6622
j : 8985
j : 8437
j : 1307
j : 1411
j : 6238
j : 9348
j : 6243
j : 677
j : 6695
j : 8919
j : 8766
j : 8326
j : 6795
j : 7614
j : 851
j : 2255
j : 927
j : 8662
j : 7861
j : 6651
j : 4863
j : 2084
j : 897
j : 5710
j : 8481
j : 913
j : 1
j : 4661
j : 8021
j : 4061
j : 5253
j : 2768
j : 4651
j : 4109
j : 2738
j : 8287
j : 3000
j : 1773
j : 9522
j : 1139
j : 3490
j : 7684
j : 3358
j : 8178
j : 7875
j : 1240
j : 4301
j : 7665
j : 7101
j : 2919
j : 21
j : 378
j : 1985
j : 4629
j : 5222
j : 7410
j : 1156
j : 7531
j : 7667
j : 5088
j : 3688
j : 640
j : 7250
j : 4765
j : 346
j : 3301
j : 8268
j : 5208
j : 529
j : 1478
j : 6978
j : 1038
j : 529
j : 5208
j : 5563
j : 3301
j : 8273
j : 1295
j : 1195
j : 755
j : 5716
j : 7154
j : 9114
j : 8761
j : 9772
j : 7693
j : 2761
j : 7545
j : 7383
j : 2345
j : 9308
j : 5658
j : 21
j : 2919
j : 8648
j : 9932
j : 4301
j : 1240
j : 7875
j : 8178
j : 3358
j : 1139
j : 1773
j : 3000
j : 8287
j : 5126
j : 4109
j : 4651
j : 2768
j : 5253
j : 7159
j : 4661
j : 8021
j : 6298
j : 6089
